Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T4 - AM - Tiet 2,GVNN01 - AVNN,GV1034 - Ly,GV1003 - Toan,GV1009 - Toan,GV1029 - Anh,GV1027 - Anh,GV1046 - CN,GV1041 - Hoa,GV1011 - Van,GV1010 - Toan,GV1008 - Toan,GV1030 - Anh,GV1040 - Hoa,GV1020 - Van,GV1065 - TD,GV1006 - Toan,GVNN02 - AVNN,GV1016 - Van,GV1037 - Ly,GV1021 - Van,GV1018 - Van,GV1007 - Toan,GV1025 - Anh,GV1033 - CN,GV1048 - Sinh,GV1042 - Hoa,GV1067 - QP,GV1032 - Ly,GV1071 - Tin,GV1052 - Su,GV1015 - Van,GV1004 - Toan,GV1057 - Dia
T4 - AM - Tiet 3,GV1039 - Hoa,GV1058 - Dia,GV1017 - Van,GV1033 - Ly,GV1043 - Hoa,GV1002 - Toan,GV1071 - Tin,GV1067 - QP,GV1064 - TD,GV1030 - Anh,GV1045 - Sinh,GVNN03 - AVNN,GV1050 - Su,GV1073 - CN,GV1066 - QP,GV1021 - Van,GV1031 - Anh,GV1016 - Van,GV1009 - Toan,GV1006 - Toan,GV1018 - Van,GV1063 - TD,GV1025 - Anh,GV1048 - Sinh,GV1007 - Toan,GV1001 - Toan,GV1051 - Su,GV1040 - Hoa,GV1065 - TD,GV1019 - Van,GV1003 - Toan,GV1004 - Toan,GV1012 - Van
T4 - AM - Tiet 4,GV1076 - Van,GV1069 - Tin,GV1003 - Toan,,GV1032 - Ly,GV1049 - Sinh,GV1020 - Van,GV1021 - Van,GVNN03 - AVNN,GV1033 - Ly,GV1008 - Toan,GV1037 - Ly,GV1005 - Toan,GV1002 - Toan,GV1044 - Hoa,GV1006 - Toan,GV1073 - CN,GV1034 - Ly,GVNN01 - AVNN,GV1054 - Su,GV1035 - Ly,GV1013 - Van,GVNN02 - AVNN,GV1048 - Sinh,GV1029 - Anh,GV1045 - Sinh,GV1028 - Anh,GV1007 - Toan,GV1012 - Van,GV1052 - Su,GV1042 - Hoa,GV1011 - Van,GV1023 - Anh
T4 - AM - Tiet 5,GV1039 - Hoa,GV1058 - Dia,GVNN03 - AVNN,GV1069 - Tin,GV1043 - Hoa,GV1071 - Tin,GV1020 - Van,GV1041 - Hoa,GV1046 - CN,GVNN01 - AVNN,GV1013 - Van,GV1004 - Toan,GV1038 - Ly,GV1002 - Toan,GV1065 - TD,GV1025 - Anh,GV1017 - Van,GV1066 - QP,GV1024 - Anh,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1016 - Van,GV1057 - Dia,GV1056 - Dia,GV1001 - Toan,GV1047 - Sinh,GV1032 - Ly,GV1042 - Hoa,GV1005 - Toan,GV1015 - Van,GV1040 - Hoa,GV1063 - TD
T4 - PM - Tiet 1,GV1069 - Tin,GV1031 - Anh,GV1049 - SHL,GVNN01 - AVNN,GV1029 - Anh,GV1002 - Toan,,,GV1026 - Anh,GV1019 - Van,GVNN02 - AVNN,GVNN03 - AVNN,GV1056 - Dia,GV1035 - Ly,GV1010 - Toan,GV1042 - Hoa,GV1038 - Ly,GV1044 - Hoa,GV1009 - Toan,GV1006 - Toan,GV1068 - Tin,GV1013 - Van,GV1045 - Sinh,GV1004 - Toan,GV1043 - Hoa,GV1025 - Anh,GV1028 - Anh,GV1007 - Toan,GV1012 - Van,GV1071 - Tin,GV1003 - Toan,GV1040 - Hoa,GV1067 - QP
T4 - PM - Tiet 2,GV1024 - Anh,GV1008 - Toan,GV1043 - Hoa,GV1023 - Anh,GVNN02 - AVNN,GV1062 - TD,GV1044 - Hoa,GV1021 - Van,GV1032 - Ly,GV1064 - TD,GV1074 - Tin,GV1047 - Sinh,GV1017 - Van,GV1002 - Toan,GV1056 - Dia,GVNN01 - AVNN,GV1010 - Toan,GV1073 - CN,GV1048 - Sinh,GV1006 - Toan,GV1018 - Van,GV1007 - Toan,GV1016 - Van,GV1033 - Ly,GV1029 - Anh,GV1019 - Van,GV1005 - Toan,GV1057 - Dia,GV1067 - QP,GV1045 - Sinh,GV1003 - Toan,GV1051 - Su,GV1037 - Ly
T4 - PM - Tiet 3,GV1024 - Anh,GV1016 - Van,,GV1069 - Tin,GV1062 - TD,GV1011 - Van,GV1071 - Tin,GV1057 - Dia,GV1044 - Hoa,GV1064 - TD,GV1013 - Van,GV1056 - Dia,GV1005 - Toan,GV1002 - Toan,GV1026 - Anh,GV1006 - Toan,GV1017 - Van,GV1007 - Toan,GV1020 - Van,GV1034 - Ly,GV1009 - Toan,GV1027 - Anh,GV1077 - Ly,GV1004 - Toan,GV1066 - QP,GV1037 - Ly,GV1068 - Tin,GV1022 - Anh,GV1003 - Toan,GV1028 - Anh,GV1029 - Anh,GV1047 - Sinh,GV1001 - Toan
T4 - PM - Tiet 4,,GV1031 - Anh,GV1003 - Toan,GV1023 - Anh,GV1029 - Anh,,GV1032 - Ly,GV1071 - Tin,GV1049 - Sinh,GV1019 - Van,GV1008 - Toan,GV1030 - Anh,GV1017 - Van,GV1035 - Ly,GV1026 - Anh,GV1006 - Toan,GV1010 - Toan,GV1016 - Van,GV1020 - Van,GV1040 - Hoa,GV1044 - Hoa,GV1013 - Van,GV1077 - Ly,GV1033 - Ly,GV1011 - Van,GV1045 - Sinh,GV1005 - Toan,GV1007 - Toan,GV1052 - Su,GV1067 - QP,GV1051 - Su,GV1004 - Toan,GV1063 - TD
T4 - PM - Tiet 5,GV1057 - Dia,,GV1022 - Anh,,,GV1011 - Van,GV1051 - Su,GV1030 - Anh,GV1058 - Dia,,GV1008 - Toan,GV1018 - Van,GV1017 - Van,GV1020 - Van,GV1026 - Anh,GV1025 - Anh,GV1010 - Toan,GV1034 - Ly,GV1024 - Anh,GV1006 - Toan,GV1009 - Toan,GV1007 - Toan,GV1063 - TD,GV1033 - Ly,GV1038 - CN,GV1001 - Toan,GV1067 - QP,GV1032 - Ly,GV1042 - Hoa,GV1005 - Toan,GV1048 - Sinh,GV1004 - Toan,GV1052 - Su
T5 - AM - Tiet 1,GV1076 - Van,GV1069 - Tin,GV1003 - Toan,GV1023 - Anh,GV1053 - Su,GV1062 - TD,,GV1052 - Su,GV1026 - Anh,GV1061 - GDCD,GV1066 - QP,GV1030 - Anh,GV1017 - Van,GV1002 - Toan,GV1010 - Toan,GV1065 - TD,GV1041 - Hoa,GV1007 - Toan,GV1009 - Toan,GVNN02 - AVNN,GV1018 - Van,GV1063 - TD,GV1077 - Ly,GV1039 - Hoa,GV1011 - Van,GV1025 - Anh,GV1015 - Van,GV1022 - Anh,GV1047 - Sinh,GV1019 - Van,GV1067 - QP,GV1004 - Toan,GV1045 - Sinh
