Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T3 - PM - Tiet 3,GV1036 - Ly,GV1069 - Tin,GV1022 - Anh,GV1033 - Ly,GV1029 - Anh,GV1011 - Van,GVNN01 - AVNN,GV1057 - Dia,GV1064 - TD,GV1071 - Tin,GV1008 - Toan,GV1074 - Tin,GV1040 - Hoa,GV1002 - Toan,GV1026 - Anh,GV1035 - Ly,GV1017 - Van,GV1016 - Van,GV1020 - Van,GV1021 - Van,GVNN03 - AVNN,GV1027 - Anh,GV1063 - TD,GV1066 - QP,GV1038 - Ly,GV1025 - Anh,GV1015 - Van,GV1018 - Van,GV1012 - Van,GV1005 - Toan,GV1032 - CN,GV1047 - Sinh,GV1043 - Hoa
T3 - PM - Tiet 4,,GV1034 - Ly,GV1017 - Van,GV1058 - Dia,GV1032 - Ly,GV1049 - Sinh,GV1020 - Van,GV1071 - Tin,GV1026 - Anh,GV1010 - Toan,GV1050 - Su,GV1004 - Toan,GV1005 - Toan,GV1002 - Toan,GV1015 - Van,GV1021 - Van,GV1070 - Tin,GV1016 - Van,GV1056 - Dia,GV1006 - Toan,GV1018 - Van,GV1013 - Van,GV1041 - Hoa,GV1033 - Ly,GV1043 - Hoa,GV1066 - QP,GV1067 - QP,GV1007 - Toan,GV1042 - Hoa,GV1035 - Ly,GV1063 - TD,GV1051 - Su,GV1001 - Toan
T3 - PM - Tiet 5,GV1024 - Anh,GV1067 - QP,GV1022 - Anh,GV1033 - Ly,GV1012 - Van,GV1011 - Van,GV1010 - Toan,,GVNN03 - AVNN,GV1058 - Dia,GV1013 - Van,GV1061 - GDCD,GV1017 - Van,GV1020 - Van,GV1026 - Anh,GV1066 - QP,GV1031 - Anh,GV1007 - Toan,GV1009 - SHL,GV1021 - Van,GV1073 - CN,GV1027 - Anh,GV1006 - Toan,GV1018 - Van,GV1029 - Anh,GV1042 - Hoa,GV1051 - Su,GV1057 - Dia,GV1003 - Toan,GV1005 - Toan,GV1015 - Van,GV1004 - Toan,GV1063 - TD
T4 - AM - Tiet 1,GV1003 - Toan,GV1008 - Toan,GV1033 - Ly,GV1013 - Van,GV1046 - CN,GV1062 - TD,GV1071 - Tin,GV1030 - Anh,GV1044 - Hoa,GV1064 - TD,GV1040 - Hoa,GV1004 - Toan,GV1060 - GDCD,GV1020 - Van,GV1037 - Ly,GV1042 - Hoa,GV1017 - Van,GV1007 - Toan,GV1009 - Toan,GV1021 - Van,GV1018 - Van,GVNN01 - AVNN,GV1016 - Van,GV1039 - Hoa,GV1051 - Su,GV1045 - Sinh,GV1028 - Anh,GV1032 - Ly,GV1065 - TD,GV1035 - CN,GV1015 - Van,GV1038 - Ly,GV1001 - Toan
T4 - AM - Tiet 2,GV1076 - Van,,GV1022 - Anh,GV1058 - Dia,GV1062 - TD,GV1071 - Tin,GV1024 - Anh,GV1034 - Ly,GV1008 - Toan,GV1033 - Ly,GV1013 - Van,GV1004 - Toan,GV1005 - Toan,GV1020 - Van,GV1015 - Van,GV1056 - Dia,GV1017 - Van,GV1016 - Van,GV1009 - Toan,GV1021 - Van,GV1044 - Hoa,GV1007 - Toan,GV1041 - Hoa,GV1052 - Su,GV1066 - QP,GV1037 - Ly,GV1035 - Ly,GV1018 - Van,GV1067 - QP,GV1028 - Anh,GV1029 - Anh,GV1040 - Hoa,GV1001 - Toan
T4 - AM - Tiet 3,,GV1034 - SHL,GV1003 - Toan,GV1009 - Toan,,,GV1020 - SHL,GV1021 - Van,GV1011 - Van,GV1030 - Anh,GV1040 - Hoa,GV1066 - QP,GV1017 - Van,GVNN02 - AVNN,GV1015 - Van,GV1006 - Toan,GV1010 - Toan,GV1044 - Hoa,GV1037 - Ly,GV1031 - Anh,GV1018 - Van,GV1007 - Toan,GV1025 - Anh,GV1033 - Ly,GV1038 - CN,GV1019 - Van,GV1068 - Tin,GV1071 - Tin,GV1067 - QP,GV1005 - Toan,GV1048 - Sinh,GV1004 - Toan,GV1057 - Dia
T4 - AM - Tiet 4,,GV1016 - Van,GV1017 - Van,GV1058 - Dia,GV1067 - QP,GV1011 - Van,GV1020 - Van,GV1064 - TD,GV1032 - Ly,GV1071 - Tin,GV1013 - Van,GV1018 - Van,GV1005 - Toan,GV1002 - Toan,GV1015 - Van,GV1025 - Anh,GV1041 - Hoa,GV1053 - Su,GV1009 - Toan,GVNN02 - AVNN,GV1026 - Anh,GV1007 - Toan,GV1006 - Toan,GV1004 - Toan,GV1043 - Hoa,GV1001 - Toan,GV1035 - Ly,GV1052 - Su,GV1003 - Toan,GV1065 - TD,GV1029 - Anh,GV1047 - Sinh,GV1023 - Anh
T4 - AM - Tiet 5,GV1062 - TD,,GV1049 - SHL,GV1046 - Sinh,,GV1058 - Dia,GV1020 - Van,GV1059 - GDCD,GV1026 - Anh,,GV1008 - Toan,GV1018 - Van,GV1005 - Toan,GV1002 - Toan,GV1010 - Toan,GV1006 - Toan,GV1017 - Van,GV1007 - Toan,GV1037 - Ly,GV1070 - Tin,GV1009 - Toan,GV1013 - Van,GV1016 - Van,GV1023 - Anh,GV1048 - Sinh,GV1057 - Dia,GV1039 - Hoa,GV1064 - TD,GV1003 - Toan,GV1035 - Ly,GV1042 - Hoa,GV1004 - Toan,GV1052 - Su
T4 - PM - Tiet 1,GV1024 - Anh,GV1041 - Hoa,GV1069 - Tin,,GV1043 - Hoa,GV1002 - Toan,GV1046 - CN,,GV1044 - Hoa,GV1030 - Anh,GV1040 - Hoa,GV1004 - Toan,GV1005 - Toan,GV1035 - Ly,GV1010 - Toan,GVNN01 - AVNN,GV1017 - Van,GV1056 - Dia,GV1020 - Van,GV1034 - Ly,GV1018 - Van,GV1007 - Toan,GV1006 - Toan,GV1052 - Su,GV1068 - Tin,GV1066 - QP,GV1039 - Hoa,GV1064 - TD,GV1003 - Toan,GV1028 - Anh,GV1032 - Ly,GV1011 - Van,GV1045 - Sinh
T4 - PM - Tiet 2,GV1069 - Tin,GV1008 - Toan,GV1033 - Ly,GV1062 - TD,GV1012 - Van,GV1036 - Ly,GV1010 - Toan,GV1030 - Anh,GV1064 - TD,GV1058 - Dia,GV1034 - Ly,GV1018 - Van,GV1070 - Tin,GV1002 - Toan,GV1066 - QP,GV1047 - Sinh,GV1017 - Van,GV1007 - Toan,GV1009 - Toan,GV1021 - Van,GV1035 - Ly,GV1042 - Hoa,GV1073 - CN,GV1048 - Sinh,GV1056 - Dia,GV1001 - Toan,GV1051 - Su,GV1022 - Anh,GV1003 - Toan,GV1005 - Toan,GV1067 - QP,GV1004 - Toan,GV1045 - Sinh
