Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T5 - PM - Tiet 3,,GV1069 - Tin,GVNN03 - AVNN,GV1039 - Hoa,GV1001 - Toan,GV1058 - Dia,GV1049 - Sinh,GV1041 - Hoa,GV1008 - SHL,,GV1028 - Anh,GV1037 - Ly,GV1038 - SHL,GV1065 - TD,GV1010 - Toan,GV1025 - Anh,GV1017 - Van,GV1030 - Anh,GV1020 - Van,GV1021 - Van,GV1035 - Ly,GV1073 - CN,GV1006 - Toan,GV1064 - TD,GV1066 - QP,GV1051 - Su,GV1005 - Toan,GV1007 - Toan,GV1003 - Toan,GV1071 - Tin,GV1029 - SHL,GV1004 - Toan,GV1067 - QP
T5 - PM - Tiet 4,GV1057 - Dia,GV1031 - Anh,GV1017 - Van,,GV1012 - Van,GV1071 - Tin,GV1064 - TD,,GV1026 - Anh,GV1058 - Dia,GV1028 - Anh,GV1004 - Toan,GV1005 - Toan,GV1020 - Van,GV1010 - Toan,GV1021 - Van,GV1038 - Ly,GV1016 - Van,GV1024 - Anh,GV1073 - CN,GV1054 - Su,GV1027 - Anh,GV1006 - Toan,GV1048 - Sinh,GV1051 - Su,GV1045 - Sinh,GV1015 - Van,GV1007 - Toan,GV1025 - Anh,GV1019 - Van,GV1063 - TD,GV1067 - QP,GV1001 - Toan
T5 - PM - Tiet 5,GV1046 - CN,GVNN02 - AVNN,GV1022 - Anh,GV1009 - Toan,GV1029 - Anh,GV1002 - Toan,GVNN01 - AVNN,GV1034 - Ly,GV1026 - Anh,GV1033 - Ly,GV1060 - GDCD,GV1004 - Toan,GV1038 - Ly,GV1035 - Ly,GV1037 - Ly,GV1065 - TD,GV1031 - Anh,GVNN03 - AVNN,GV1041 - Hoa,GV1040 - Hoa,GV1044 - Hoa,GV1063 - TD,GV1006 - Toan,GV1068 - Tin,GV1048 - Sinh,GV1051 - Su,GV1039 - Hoa,GV1007 - Toan,GV1071 - Tin,GV1005 - Toan,GV1003 - Toan,GV1067 - QP,GV1001 - Toan
T6 - AM - Tiet 1,GV1039 - Hoa,GV1069 - Tin,GV1057 - Dia,GV1009 - Toan,GV1001 - Toan,GV1002 - Toan,,GV1067 - QP,GV1011 - Van,GV1061 - GDCD,GV1008 - Toan,GV1030 - Anh,GV1005 - Toan,GVNN02 - AVNN,GV1015 - Van,GV1006 - Toan,GV1017 - Van,GV1016 - Van,GV1024 - Anh,GV1054 - Su,GV1035 - SHL,GV1007 - Toan,GV1066 - QP,GV1004 - Toan,GV1029 - Anh,GV1025 - Anh,GV1028 - Anh,GV1071 - Tin,GV1003 - Toan,GV1043 - Hoa,GV1032 - Ly,GV1038 - Ly,GV1052 - Su
T6 - AM - Tiet 2,GV1057 - Dia,GV1016 - Van,GV1061 - GDCD,GV1062 - TD,GV1049 - Sinh,,GV1020 - Van,GV1034 - Ly,,GV1039 - Hoa,GV1013 - Van,GV1065 - TD,GV1026 - Anh,GV1041 - Hoa,GV1044 - Hoa,GV1021 - Van,GV1010 - Toan,GV1007 - Toan,GV1024 - Anh,GV1066 - QP,GV1009 - Toan,GV1042 - Hoa,GV1006 - Toan,GV1033 - Ly,GV1038 - Ly,GV1001 - Toan,GV1005 - Toan,GV1022 - Anh,GV1012 - Van,GV1028 - Anh,GV1029 - Anh,GV1051 - Su,GV1043 - Hoa
T6 - AM - Tiet 3,GV1053 - Su,,GV1057 - Dia,GV1009 - Toan,,GV1002 - SHL,GV1020 - Van,GV1071 - Tin,,GV1054 - Su,GV1034 - Ly,GV1042 - Hoa,GV1017 - Van,GV1027 - Anh,GV1010 - Toan,GV1073 - CN,GV1031 - Anh,GV1016 - Van,GV1041 - Hoa,GV1006 - Toan,GV1018 - Van,GV1013 - Van,GV1025 - Anh,GV1004 - Toan,GV1007 - Toan,GV1068 - Tin,GV1005 - Toan,GV1045 - Sinh,GV1003 - Toan,GV1019 - Van,GV1067 - QP,GV1047 - Sinh,GV1052 - Su
T6 - AM - Tiet 4,GV1046 - Sinh,,GV1069 - Tin,GV1054 - Su,GV1057 - Dia,GVNN03 - AVNN,GV1044 - Hoa,GV1030 - Anh,,GV1010 - Toan,GV1013 - Van,GV1018 - Van,GV1017 - Van,GV1002 - Toan,GV1026 - Anh,GV1025 - Anh,GV1031 - Anh,GV1016 - Van,GV1020 - Van,GV1021 - Van,GV1009 - Toan,GV1007 - Toan,GV1006 - SHL,GV1033 - Ly,GV1011 - Van,GV1001 - Toan,GV1005 - Toan,GV1040 - Hoa,GV1042 - Hoa,GV1019 - Van,GV1067 - QP,GV1004 - Toan,GV1012 - Van
T6 - AM - Tiet 5,GV1003 - Toan,GV1031 - Anh,GV1043 - Hoa,GV1023 - Anh,GV1001 - Toan,,GV1057 - Dia,,,GV1010 - Toan,GV1034 - Ly,GVNN03 - AVNN,GV1048 - Sinh,GV1002 - Toan,GV1026 - Anh,GV1006 - Toan,GV1017 - SHL,GV1016 - Van,GV1037 - Ly,GV1021 - Van,GV1018 - Van,GV1042 - Hoa,GV1025 - Anh,GV1066 - QP,GV1007 - Toan,GV1019 - Van,GV1015 - Van,GV1067 - QP,GV1047 - Sinh,GV1035 - Ly,GV1071 - Tin,GV1051 - Su,GV1052 - SHL
T6 - PM - Tiet 1,GV1067 - QP,GV1041 - Hoa,GV1033 - Ly,GV1059 - GDCD,GV1043 - Hoa,GV1071 - Tin,GV1024 - Anh,GV1057 - Dia,GV1058 - Dia,GV1030 - Anh,GV1013 - Van,GV1004 - Toan,,GV1027 - Anh,GV1015 - Van,GV1035 - Ly,GV1010 - Toan,GV1007 - Toan,GV1020 - Van,GV1040 - Hoa,GV1009 - Toan,GV1056 - Dia,GV1016 - Van,GV1018 - Van,GV1066 - QP,GV1001 - Toan,GV1005 - Toan,GV1032 - CN,GV1052 - Su,GV1019 - Van,GV1042 - Hoa,GV1022 - Anh,GV1045 - Sinh
T6 - PM - Tiet 2,GV1003 - Toan,GV1061 - GDCD,GV1022 - Anh,GV1058 - Dia,GV1001 - Toan,GV1027 - Anh,GV1010 - Toan,GV1057 - Dia,GV1049 - Sinh,,GV1028 - Anh,GV1056 - Dia,GV1026 - Anh,GV1020 - Van,GV1073 - CN,GV1021 - Van,GV1060 - GDCD,GV1047 - Sinh,GV1041 - Hoa,GV1031 - Anh,GV1009 - Toan,GV1066 - QP,GV1016 - Van,GV1052 - Su,GV1011 - Van,GV1025 - Anh,GV1015 - Van,GV1007 - Toan,GV1012 - Van,GV1005 - Toan,GV1048 - Sinh,GV1071 - Tin,GV1067 - QP
T6 - PM - Tiet 3,GV1036 - Ly,GV1041 - Hoa,GV1003 - Toan,GV1069 - Tin,GVNN02 - AVNN,GV1044 - Hoa,GV1032 - Ly,GV1021 - Van,GV1008 - Toan,GV1071 - Tin,GV1028 - Anh,GV1037 - Ly,GV1026 - Anh,GV1020 - Van,GV1065 - TD,GV1042 - Hoa,GV1010 - Toan,GV1030 - Anh,GV1063 - TD,GV1040 - Hoa,GV1018 - Van,GV1013 - Van,GV1016 - Van,GV1004 - Toan,GV1066 - QP,GV1001 - Toan,GV1005 - Toan,GV1067 - QP,GV1012 - Van,GV1052 - Su,GV1051 - Su,GV1038 - Ly,GV1023 - Anh
T6 - PM - Tiet 4,GVNN01 - AVNN,GV1008 - Toan,,GV1067 - QP,GV1043 - Hoa,GV1046 - CN,GV1010 - Toan,GV1041 - Hoa,GV1071 - Tin,GV1039 - Hoa,GV1028 - Anh,GV1018 - Van,GV1026 - Anh,GV1002 - Toan,GV1044 - Hoa,GV1021 - Van,GV1038 - Ly,GV1016 - Van,GV1009 - Toan,GV1006 - Toan,GVNN03 - AVNN,GV1013 - Van,GV1077 - Ly,GV1048 - Sinh,GV1011 - Van,GV1001 - Toan,GV1047 - Sinh,GV1045 - Sinh,GV1042 - Hoa,GV1057 - Dia,GV1003 - Toan,GV1063 - TD,GV1012 - Van
T6 - PM - Tiet 5,GV1003 - Toan,GV1031 - Anh,GV1062 - TD,GV1009 - Toan,GV1053 - Su,GV1067 - QP,GV1071 - Tin,GV1002 - Toan,GV1044 - Hoa,GVNN01 - AVNN,GV1008 - Toan,GV1004 - Toan,GV1017 - Van,GV1035 - Ly,GVNN03 - AVNN,GV1021 - Van,GV1010 - Toan,GV1007 - Toan,GV1020 - Van,GV1006 - Toan,GV1018 - Van,GV1048 - Sinh,GV1016 - Van,GV1033 - CN,GV1064 - TD,GV1066 - QP,GV1051 - Su,GV1040 - Hoa,GV1025 - Anh,GV1005 - Toan,GV1032 - Ly,GV1056 - Dia,GV1063 - TD
